あわてます 慌てます 慌张，着急，匆忙，慌乱；惊慌失措
はらいます 払います 支付，付款；缴纳；打发走；赶走；解雇；消除（疑虑等）
はらいもどす 払い戻す 退还，返还；报销；退款
はらいこむ 払い込む 缴纳，交纳；存入（款项等）
はらう 払う 支付；缴纳；付（钱）；拂，掸；拍（灰）；驱散，消除；赶走；打发；支付工资
あつかい 扱い 操作；对待；处理；经营；使用；买卖
あつかう0 扱う 1. 经营，销售；2. 对待，处理；3. 使用，操作；4. 涉及，论述
ひはん 批判 名词，意为批判、批评、评论
ひひょう 批評 批评；评论；影评；对事物进行分析、评判
うけたまわる 承る 1. 接受，答应，应允；2. 听说，敬悉；3. 承认，承担
しょうち 承知 1. 知道，知晓；2. 同意，答应，允许；3. 领教，认输
しょうちします 承知します 答应；同意；知晓，知道
しょうにん 承認 承认；认可；批准；同意
しょうだく 承諾 名词，意为同意、答应、应允、承诺。
わざ 技 技术，本领；招数；技巧；技能
ぎこう 技巧 技巧；技艺；技术。
ぎし 技師 工程师，技师
ぎじゅつ 技術 技术；技艺；技能
ぎじゅつかいはつ 技術開発 技术开发
ほじる 抉る 挖，剜；挖掘，追究；深入探究；挖苦，讽刺
はあく 把握 理解，掌握；抓住，把握住；抓住（机会等）
おさえる 抑える/押さえる 1. 压住，按住；2. 控制，抑制（感情、情绪、事态等）；3. 忍住（眼泪、哈欠等）；4. 记住，掌握
よくせい 抑制 抑制，制止；控制，约束。
よくあつ 抑圧 压制，压迫；抑制，压抑
つまる 抓る 掐，拧；捏；夹；揪
なげやり 投げやり 不认真，马虎，敷衍，草率；指做事时缺乏认真负责的态度，随意应付
なげる 投げる 投，扔，掷；抛弃，放弃；投射（目光等）
なげだす 投げ出す 1. 扔出去，抛出去；2. 放弃，抛弃（工作、计划等）；3. 豁出去，不顾一切地去做；4. 突然说出，突然提出
なげこむ 投げ込む 1. 投进，投入，扔进；2. 投身于，致力于；3. 陷入，置身于
なげかえす 投げ返す 1. 扔回去，投回去；2. 反驳，回敬
とうか 投下 投下，投掷；投放；投资。例如炸弹、资金等的投放。
とうにゅう 投入 投进去；投入（资本、精力等）；投放；注入
とうしょ 投書 投稿，寄稿；（向机关等）写信
とうひょう 投票 投票；表决
とうし 投資 投资；投入（时间、精力等）
あらがう 抗う 抵抗，抗争，反抗；对抗，抗衡；挣扎
こうせいぶっしつ 抗生物質 名词，抗生素；抗菌素
こうぎ 抗議 名词，意为抗议、反对。
おり 折 名词，意为‘时候、时机’；也可指‘折叠、对折的状态；折断、弯曲的地方’等
おりいって 折り入って 诚恳；特意；郑重其事地
おりあう 折り合う ① （双方）达成一致；谈妥；商定。② 相处融洽；合得来。③ 相符；吻合。
おりたたむ 折り畳む 叠，折叠；折合；使屈服
おりかえし 折り返し 1. 翻折，折叠；2. 返回，折回；3. 立即，尽快；4. 反复，多次；5. 对折，对开
おりかえす 折り返す 1. 折回，返回；2. 对折，折叠；3. 改变，转变
おる 折る 折，折断；折叠；屈服；挫败；中断；停止；拒绝；驳回
おれます 折れます 折，断；弯曲；屈服；拐弯；时间流逝。
おれる 折れる 折，折断；弯曲；屈服；倒闭，破产
せっちゅう 折衷 折中，调和，取两者之长。
ぬかす 抜かす 遗漏，漏掉；跳过；偷出，抽出；省略；摆脱
ぬきんでる 抜きん出る 出类拔萃；突出；挑选出来
ぬきだす 抜き出す 拔出，抽出；选拔，挑选；提取，摘录；突出，显眼
ぬく 抜く 1. 抽出，拔出；2. 除掉，去掉；3. 选出，挑出；4. 超过，超出；5. 省略，略去
ぬける 抜ける 脱落；漏掉；穿过；退出；摆脱；通过（考试等）
ぬけだす 抜け出す 悄悄溜走；逃脱；脱离；开始脱落
ぬけおちる 抜け落ちる 脱落；遗漏；掉队；脱离；漏掉。
ばっぽんてき 抜本的 根本的，彻底的；治本的
ばつぐん 抜群 超群，突出，出众。表示在某方面远远超过一般水平。
ひろう 披露 宣布，公布，公开；（在人前）露面、亮相；婚礼、结婚仪式
ひろうえん 披露宴 名词，指结婚时举行的公开庆祝宴会，即婚宴、喜宴。
かかえる 抱える 1. 抱，夹，挟；2. 担负，承担；3. 雇佣，聘用；4. 怀有，抱有（某种想法、情感等）
だきしめる 抱き締める 紧紧抱住，紧紧搂住；内心强烈地怀有（某种情感）
だく 抱く 抱；怀有（情感、想法等）
だっこ 抱っこ 抱，抱小孩；拥抱
ていこう 抵抗 抵抗，反抗；反感；抵御
おさえる 押さえる 1. 压，按，摁；2. 抑制，控制；3. 抓住，揪住；4. 理解，掌握；5. 决定，确定；6. 预订，预约
おさえこむ 押さえ込む 1. 压住，按住；2. 控制住，压制；3. 平息，抑制；4. 说服，劝服
おしかける 押しかける 蜂拥而至，闯进；不请自来；逼近，压过来；（风、浪等）袭来；主动搭话
おします 押します 推；按；压；挤；催促；逼迫等
おしあげる 押し上げる 1. 推上去，顶上去，往上抬；2. 推举，提拔；3. 提高，抬高；4.（价格等）上涨
おしつけがましい 押し付けがましい 强加于人的，命令式的，强逼着；盛气凌人的，咄咄逼人的
おしつける 押し付ける 1. 压，按；2. 强加于人，强迫接受；3. 硬塞给，硬推销
おしいれ 押し入れ 壁橱；壁柜；杂物间
おしだす 押し出す 1. 挤出；推出；使出来。例：人群中押し出して一人を出した。（从人群中推出一个人。）2. 蜂拥而出。例：人々が部屋から押し出して出た。（人们从房间里蜂拥而出。）3. 强加；硬塞。例：自分の意見を相手に押し出す。（把自己的意见强加给对方。）
おしきる 押し切る 切断；（排除困难）坚持到底；用力推开；一口气做完
おしあう 押し合う 相互推挤、冲撞；互相坚持、互不相让
おしよせる 押し寄せる 涌过来，蜂拥而至；（波浪等）袭来；（困难、问题等）纷至沓来
おしこむ 押し込む 1. 硬塞，塞进；2. 硬让接受，强加；3. 闯进，硬挤进去
おしとおす 押し通す 坚持到底，贯彻到底；强行通过；强行推行
おす 押す 压，按；推；挤；催促；逼迫
ちゅうしょうてき0 抽象的 抽象的；不具体的
ちゅうせん 抽選 抽签，抓阄；抽奖
おう 担う 1. 担，挑；2. 承担，担负；3. 抱有（某种想法、情感等）
おうぐ 担ぐ 扛，挑，背；承担，担负；以……为领袖；抱有（某种想法、感情等）
たんにん 担任 担任，担当；多指担任某个职务、课程等，如班主任、任课教师等。
たんとう 担当 担任，负责；担当者，负责人
たんとうします 担当します 承担；负责。表示承担某项工作、任务或职责。
たんとうしゃ 担当者 负责人，责任人；负责某项工作或事务的人
たんか 担架 担架；用于搬运伤病员的工具
らち 拉致 强行拉走；绑架
はくしゅ 拍手 鼓掌，拍手；称赞，喝彩
こばむ 拒む 拒绝；阻挡，阻止；不接受；抗拒
きょひ 拒否 拒绝，否决；表示对某种请求、提议、要求等予以不接受的态度。
きょぜつ 拒絶 拒绝；不接受、不答应他人的请求、提议等。
こじらせる 拗らせる 使复杂化，使恶化；故意刁难，使人为难
こじれる 拗れる 别扭；复杂化，恶化；纠缠；拧，扭曲
こだわり 拘り 拘泥；计较，在乎；讲究，注重
こだわる 拘る 拘泥；固执；讲究；挑剔；纠缠；揪住（某件事不放）
こうそく 拘束 1. 束缚，限制，约束。（行動や自由を制限すること。）2. 扣押，拘留。（人や物を取り押さえて自由を奪うこと。）
きゅうりゅう 拘留 拘留，拘役；扣押
まねき 招き 邀请，招待；招呼；招致，引来
まねく 招く 1. 邀请，招待；2. 招致，引来；3. 吸引，招引
しょうたい 招待 名词：招待，款待；邀请。动词：招待，款待；邀请。
しょうたいけん 招待券 招待券；请柬；赠券
ちょうし 招致 招来，招致；招揽，聘请。通常指引来不好的事情或后果，也可表示招揽人才等。
おがむ 拝む 叩拜；请求，央求；瞻仰，拜读；敬领，拜受
はいしゃく 拝借 （自谦语）借，向他人借用物品时使用的谦逊表达方式。
はいけい 拝啓 书信开头的敬语，用于正式信件中，相当于“敬启者”。
はいび 拝眉 拜谒，拜见，通常用于表示恭敬地拜见长辈、上级等。
はいけん 拝見 拜读；瞻仰；观看（他人的东西时的敬语）
はいけんします 拝見します （自谦语）观看、拜读、拜见等。用于表示自己看别人的东西或拜见别人时的谦逊表达。
よりどころ 拠り所 根据、依据；依靠、依托；住所、住处
きょてん 拠点 据点，基地；活动的中心场所
かくだい 拡大 名词：扩大，扩展；サ变动词：使扩大，使扩展
かくちょう 拡張 扩充，扩张，扩展；在数学领域可表示展开，如多项式的展开等
かくさん 拡散 扩散；传播；蔓延
くくる 括る 1. 捆扎，捆绑，扎紧；2. 总结，归纳；3. （用括号）括起来；4. 圈定，划定；5. 缔结，订立（条约等）
ふく 拭く 擦，抹，拭，擦拭；刷去，拂去；消除，去除
けんぽう 拳法 名词，指拳击、拳术等以拳为主要攻击手段的武术。
こしらえる 拵える 做，制造；筹备（物品、资金等）；捏造；打扮，装饰
ひろいます 拾います 捡，拾；顺便买；顺路接；获得
ひろう 拾う 拾，捡；选出，挑选；抢救；获得；学会
もちます 持ちます 持有，携带；拿，搬；怀有，抱有；举行，举办
もちあげる 持ち上げる 端起，拿起，举起；抬高，提高；拥护，推崇
もちぬし 持ち主 持有者，所有者；物主；主人
もちだす 持ち出す 1. 拿出，取出；带出去。例：把东西从房间里拿出去。2. 提出，谈及。例：在会议上提出问题。3. 泄露，外传。例：不要把这件事外传。
もちきり 持ち切り 始终谈论一件事；一直垄断话题；热门话题
もちかえり 持ち帰り 打包；带回；拿回去
もちかえる 持ち帰る 拿回，带回；打包（食物等）带走
もちあるきます 持ち歩きます 携带，拿着走；随身带着
もちもの 持ち物 随身物品；所有物
もちこむ 持ち込む 1. 带入，带进；2. 带来（某种情绪、问题等）
もってきます 持って来ます 带来；拿来；携带来；把（某物）带到说话人所在的地方
もっていきます 持って行きます 拿着（某物）去；带去；携带（某物）前往
もてる 持てる 能拿，能持有；能拥有；能保持；受欢迎，受青睐
もてあます 持て余す 难以处理，无法对付；多得处理不了；应付不过来；驾驭不了
もてなす 持て成す 接待；招待，请客；款待
じさん 持参 携带，带来，自备；特指把物品带到某个特定的场所或交给某人
じびょう 持病 慢性病；老毛病
じぞく 持続 持续，保持，维持；（事物、现象等）不间断地存在或进行
ゆび 指 手指，指头；指针；（长度单位）寸
さす 指す 指向；指示；指定；暗示
しなん 指南 教导、指示；指引、引导；指南、手册
しめい 指名 指名，指定；被点名
しず 指図 指示，吩咐；指使，命令
してい 指定 指定；规定。表示明确地确定、指定某个事物、范围、时间等。
していけん 指定券 对号票，对号入座票；指定券（指限定乘坐特定车次、座位等的票券）
していせき 指定席 指定的座位，通常用于交通工具（如火车、飞机等）或活动场所中预先指定的座位。
しどう 指導 指导，教导；指引；领导
ゆびさす 指差す 用手指指向；指责，责备
しき 指揮 指挥；领导；率领
しきしゃ 指揮者 指挥者；乐队指挥；指挥官
してき 指摘 指出；指责；挑毛病；批评。
してきする 指摘 指出、指责、批评。表示把问题、错误等明确地说出来。
しひょう 指標 指标；指针；准则。表示衡量、判断事物的标准或参考依据。
しじ 指示 名词，意为指示、吩咐、指令
ゆびわ  指輪 戒指，指环
いどむ 挑む 挑衅，挑战；征服；积极尝试做某事
ちょうせん 挑戦 挑战；挑衅
あげます 挙げます 举，举起；列举；提出；举行；提高等
あげる 挙げる 列举；举起；举行（仪式）；呈上；提出；获得等
およって 挙って 全部，全都；总体来说
きょしき 挙式 举行（结婚）仪式；婚礼
はさまる 挟まる 夹在……之间；陷入（困境等）；夹杂；被夹入
はさむ 挟む 插，插入；夹；隔着；夹在中间；使……陷入困境
あいさつ 挨拶 寒暄；打招呼；致辞；问候
くじく 挫く 挫伤；挫败；挫（锐气）；扭伤
くじける 挫ける 1. 挫伤，扭伤；2. 沮丧，消沉，气馁
ふり 振り 外表，样子；装作，假装；（动作的）方式、样子；（机械等的）摆动、运转情况等
ふります 振ります 挥动，摆动；洒，撒；拒绝；分配；显示，表现；打（电话）等
ふりだし 振り出し 出发点，原点；开端，最初；（棒球）投手板
ふりむく 振り向く 回头；转身；理睬；回顾
ふりまわす 振り回す 1. 抡起，挥舞；2. 滥用；3. 炫耀；4. 折腾；5. 任意驱使，随意摆布
ふりかえ 振り替え 调换，更换；转账；重新分配；重新安排
ふりこみ 振り込み 存钱；汇款；转账
ふりこむ 振り込む 汇款，转账；注入；倾注（感情等）
ふりかえる 振り返る 回头看；回顾（往事）；反省；追溯
ふる 振る 1. 挥，摇，摆；2. 拒绝，甩；3. 散布，撒；4. 显示，施展；5. 分配，分发
ふるう 振るう 挥动；挥舞；发挥；施展；发抖；颤抖；下（雨、雪等）
ふるまい 振る舞い 行为，举止；请客，招待；表现
ふるまう 振る舞う 1. 行动，举止；2. 请客，做东；3. 表现，发挥
しんどう 振動 振动；摆动；震动
しんこう 振興 振兴；促进发展。
ざんかい 挽回 挽回；挽救；弥补。
さす 挿す 插；刺入；嵌入；塞进；注射；投入；使加入；使进入；灌输；引入
そうにゅう 挿入 插入；装入；嵌入；塞进
とらえる 捉える 捉住；紧紧抓住；捕获；理解；领会
たおく 捌く 销售，推销；妥善处理，弄清楚；熟练操作，应付；解开，理清
ねつぞう 捏造 无中生有地编造虚假的事情。
つかまえる 捕まえる 捉住，逮住；抓住；掌握，理解
つかまる 捕まる 1. 被抓住，被捕；2. 陷入，落入；3. 被吸引，被迷住
とらわれる 捕らわれる 被逮捕；受限制；被抓住；陷入（某种状态）
ほかく 捕獲 捕获；捉拿；缴获
ほりょ 捕虜 俘虏；战俘
はかどる 捗る （工作、工程等）进展顺利；进行得快；进展迅速
そうさ 捜査 搜查，侦查；调查，查访
そうさく 捜索 搜索，搜寻；查找
そうさくかつどう 捜索活動 搜索活动；搜寻行动
ささげる 捧げる 1. 奉献，贡献；2. 捧，举；3. 呈献，献上
すてます 捨てます 丢掉，舍弃；放弃；消磨（时间）
すてる 捨てる 扔掉，丢弃；放弃，舍弃；抛弃；浪费
ねじれる 捩れる 歪，弯曲；（性情）乖僻；拧，扭转；（事物）扭曲、走样
おきる 据える 放置；安置；使就座；使就任；使稳定；沉着；使固定
すえつける 据え付ける 安装；配备；固定；安置；使定居
まくる 捲る 翻起；揭开；撕下；卷起；翻阅（书页等）
なついん 捺印 盖章；盖手印
ひねる 捻る 拧，扭；扭转；歪曲（事实等）；绞（毛巾等）；扭伤（关节等）
ひねれる 捻れる 弯曲；扭歪；拧；拧开；拧断；性情乖僻；（想法等）古怪
ねんしゅつ 捻出 想出（方案、办法等）；挤出，筹措（资金、时间等）
ねんざ 捻挫 扭伤，挫伤
はく 掃く 扫，打扫；刷；拂去
そうじ 掃除 扫除，清扫；清理，清除
そうじします 掃除します 打扫，清扫；清除，清理
そうじき 掃除機 名词，吸尘器，除尘器
そうじする 掃除する 打扫，扫除
さずける 授ける 授予，给予；传授，教授；交给，托付
じゅよ 授与 授予；给予
じゅぎょう 授業 授课，上课；课程
じゅぎょうりょう 授業料 学费
てのひら 掌 手掌，手心；（转义）掌握，控制；（比喻）范围，领域
すくう 掏る 1. 用手或工具舀取，掬起；2. 偷窃
はいき 排気 排出空气；排出废气
はいじょ 排除 排除，消除；排斥，摒弃
ほる 掘る 挖，挖掘，刨；钻研；打听，探听
かかります 掛かります 1. 挂，悬挂；2. 花费（时间、金钱等）；3. 需要（时间、精力等）；4. 涉及，关系到；5. 开始，着手
かかる 掛かる 悬挂；花费；需要（时间、精力等）；笼罩；涉及；挂电话；遭受；上锁等
かけ 掛け 悬挂物；赊账；欠款；（动作的）尝试、做（某事）的机会；乘法运算中的乘数
かけます 掛けます 挂；戴；花费（时间、金钱等）；放；给（电话）等
かける 掛ける 悬挂；戴上；浇（水）；花费；开动（机器）；施加；覆盖；乘以；使……处于某种状态等
かけざん 掛け算 （数学）乘法
かすめる 掠る 擦过，掠过；掠夺，抢劫；轻易地做，敷衍了事
とる 採る 采用；录用；招收；招生；采摘；选取；获取等
さいたく 採択 采纳，通过；选择，选定
さいくつ 採掘 开采；采掘；采矿。指从地下或其他地方挖掘、获取矿物等资源的行为。
さいけつ 採決 表决；投票决定
さいてん 採点 打分，判分，判卷
さいよう 採用 采用，采纳；录用；选用；采用某种方法、技术等；选拔任用人员等
さいようしけん 採用試験 录用考试，招聘考试
さいさん 採算 （收支）核算；盈亏计算
さがします 探します 找，寻找，寻求；探寻，探索；查找，搜索
さがしだす 探し出す 找出，找到，发现；经过一番寻找后把目标物找出来
さがす 探す 寻找，搜寻；探求，寻求；查找
さぐる 探る 1. 寻找；探寻，如寻找失物、探寻真相。2. 试探；探听，如试探对方的心意。
たんてい 探偵 侦探；侦查
たんけん 探検/探険 探险；勘探；考察
たんきゅうしん 探求心 求知欲；探索精神；追求真理的心态
たんきゅう 探究 深入地探求、研究。
