# ========================================================
# 50音伪装计算器 - 高考正版初级 + 新标日中级 黄金合体词库
# 优化：雷达追踪对齐，解除翻译限制，全量保留中级词汇
# ========================================================

あいず 合図 [信号]
うすぎり 薄切り [（切）薄片]
うそ 嘘 [谎言，假话]
うたがう 疑う [怀疑,不相信；猜疑]
うちこむ 打ち込む [热衷于，全神贯注]
うっかり うっかり [不留神；漫不经心；贸然]
うつす 写す [抄，誊，拍照]
うつす 移す [搬动，移动]
うつりかわる 移り変わる [变迁，变化]
うつる 移る [移，移动]
うで 腕 [胳膊；本领]
うでぐみ 腕組み [抱着胳膊]
うなぎ 鰻 [鳗鱼，鳗鲡]
うま 馬 [马]
うまい うまい [可口，高明]
うまれかわる 生まれ変わる [再生，转生，新生]
うむ 生む [生，产生]
うらやましい 羨ましい [羡慕]
うりば 売場 [出售处,售品处,柜台]
うわさ 噂 [谈论，传言，风声]
うわまわる 上回る [超过，超出]
うん 運 [运气，命运]
うんてん 運転 [驾驶，开车]
エアコン air conditioner [空调]
えいきょう 影響 [影响]
えいぞう 映像 [映像，影像]
えいよう 栄養 [营养]
えがお 笑顔 [笑颜，笑脸]
えがく 描く [画，绘，描绘]
えさ 餌 [饵料；诱饵]
えだ 枝 [树枝]
エネルギー engrgie [能源，能量，精力]
えび 蝦 [虾]
エピソード episode [插曲，小故事，轶事]
エラー error [错误，失败]
えらい 偉い [了不起的，地位高的]
えらびなおす 選び直す [重新选择，再次选择]
える 得る [得到，获得，博得]
エレベーター elevator [电梯，升降机]
えんぎ 縁起 [凶吉的兆头]
えんじょ 援助 [援助，帮助]
えんじる 演じる [演，扮演；作出，造成]
エンジン engine [发动机，引擎]
えんりょ 遠慮 [远虑,客气；谦辞,回避]
おい 甥 [侄子，外甥]
おいかける 追いかける [追赶，紧接着，紧跟着]
おう 追う [追，赶，追求]
おうえん 応援 [声援，援助]
おうふく 往復 [往返，往复，来回]
おおいに 大いに [大大地，很；甚，颇]
おおげさ おおげさ [夸大,夸张；小题大做]
おおざっぱ おおざっぱ [草率；粗略；粗心大意]
おおさわぎ 大騒ぎ [大骚乱，大乱]
オーストラリア Australia [澳大利亚]
おおぜい 大勢 [大批人，众多人]
おおて 大手 [大企业，大公司]
おおみそか 大晦日 [除夕，大年三十]
おかしい 可笑しい [可笑，奇怪]
おきわすれる 置き忘れる [忘记带回，忘记放在哪儿]
おく 奥 [里面，内部，深处]
おくがい 屋外 [屋外，室外，户外]
おくさん 奥さん [夫人]
おくびょう 臆病 [胆怯，胆小，怯懦]
おくりもの 贈り物 [礼物，礼品]
おくる 送・贈る [寄送，送行，度过，赠送]
おこす 起こす [唤起，叫醒；发动，引发]
おこなう 行う [实行，进行，举行]
おこる 起こる [发生，引起，产生，萌发]
おさえる 押・抑える [抑制，控制；限制，压制]
おさななじみ 幼馴染 [幼时情谊，亦指其人]
おさめる 収・納める [纳入，收录进；交纳]
おじ 伯父・叔父 [伯伯，叔叔，舅舅]
おしい 惜しい [可惜，吝惜,舍不得]
おしゃれ お洒落 [好打扮，爱时髦]
おじぎ お辞儀 [鞠躬，行礼]
おす 押す [推，押，按]
おせちりょうり 御節料理 [新年菜肴]
おせん 汚染 [污染]
おそれる 怖れる [害怕，恐怕，担心]
おそろしい 恐ろしい [恐怖；可怕；惊人]
おたがい お互い [彼此，互相]
おだやか 穏やか [温和，平稳，平静]
おちこむ 落ち込む [坠入，陷入，消沉]
おちつく 落ち着く [沉着，镇定，平静]
おちる 落ちる [落下；掉落,落榜；堕落]
おっと 夫 [丈夫]
おとしあな 落とし穴 [陷阱；阴谋；诡计；圈套]
おとす 落とす [使…落下，丢失；去掉]
おとずれる 訪れる [到来，来临；访问]
おとなしい 大人しい [老实，温顺]
おとる 劣る [劣；次，不及，比不上]
おどろく 驚く [惊讶，吃惊，惊叹]
おば 伯母・叔母 [伯母，婶婶，舅母]
おぼん お盆 [盂兰盆节]
おまつり 御祭り [祭祀，庙会；祭日，仪式]
おみくじ 御神籤 [神签]
おもいうかぶ 思い浮かぶ [想起，浮现在心头]
おもいがけない 思い掛けない [意想不到，出乎意料]
おもいきって 思い切って [坚决，下决心，断然]
おもいきり 思い切り [断念；尽情地，痛快地]
おもいだす 思い出す [想起]
おもいで 思い出 [回忆,回想,追忆,追怀]
おもいやり 思いやり [体谅，体贴，同情]
おもちゃ おもちゃ [玩具]
おもて 表 [表面，外表，正面]
おもな 主な [主要的]
おやこうこう 親孝行 [孝顺父母]
およそ およそ [大概、大致]
および 及び [及，以及]
およぶ 及ぶ [达到，波及，需要做]
およぼす 及ぼす [波及，影响到]
おりる 下･降りる [下来；卸下]
おる 折る [折（断） ，弯曲]
おれ 俺 [俺，咱，我]
おれる 折れる [折，断]
おろす 下ろす [卸下；提取（存款等）]
おわり 終わり [结束，终了]
おんせん 温泉 [温泉]
おんど 温度 [温度]
カーテン curtain [窗帘]
カード card [卡，卡片，纸牌]
ガーデン garden [花园；庭园]
がい 害 [害处，危害]
かいがい 海外 [海外，外国]
かいがん 海岸 [海岸]
かいご 介護 [看护，护理]
がいこう 外交 [外交]
かいさい 開催 [召开，举办]
かいしゅう 回収 [回收]
かいしょう 解消 [解除，消除，取消，解决]
がいする 害する [伤害，杀害，妨碍]
ガイドブック guidebook [旅行指南，旅行手册]
かいはつ 開発 [开发]
かいひ 会費 [会费]
かいろ 回路 [电路，回路]
かう 飼う [养，饲养]
カウントダウン countdown [倒计数]
かえす 返す [还给(人)，归还，退掉]
かえる 替える [换，更换]
かかえこむ 抱え込む [包揽，承担，搂抱]
かかえる 抱える [抱，夹，承担，负担]
かかせない 欠かせない [不可或缺的]
かかり 係 [担当者，具体负责人]
かかる かかる [患病]
かかわる 係・関わる [关系到，牵扯]
かきとり 書き取り [听写，默写，记录]
かぎる 限る [限定，限于]
かく 欠く [缺少；弄坏]
かく 掻く [搔,挠；拨,推；搅和]
かぐ 嗅ぐ [嗅；闻；打探]
かくかぞく 核家族 [核家庭]
かくご 覚悟 [决心，精神准备]
かくじつ 確実 [确实，坚实，真实]
かくす 隠す [掩盖，隐藏]
がくもん 学問 [学问，学术]
がくりょく 学力 [学力，学习实力]
かくれる 隠れる [躲藏，隐藏]
かけこむ 駆け込む [跑进，跑入]
かけつける 駆け付ける [迅速赶到]
かける 掛ける [带来，施加]
かげん 加減 [程度；状态，情况]
かこむ 囲む [围上；包围，围绕]
かさなる 重なる [重叠，重复；赶在一起]
かさねる 重ねる [叠加，反复；追加]
かざりつける 飾りつける [装饰，修饰，打扮]
かざる 飾る [装饰]
かじ 火事 [火灾]
かじ 家事 [家务事]
かしこい 賢い [聪明]
カジュアル casual [轻便的，舒适的，休闲的]
かしらもじ 頭文字 [首字母]
ガス 荷 gas [煤气，气体]
かそう 仮装 [化装]
かた 肩 [肩，肩膀]
かたくるしい 堅苦しい [死板；没有通融余地]
かたづける 片づける [收拾，解决]
かたほう 片方 [(两方中的)一方，一个]
かたみち 片道 [单程]
かたむく 傾く [倾斜，倾向于]
かたよる 偏る [不均衡，偏颇]
かち 価値 [价值]
かちかん 価値観 [价值观]
かちとる 勝ち取る [赢得，夺取]
がっかり がっかり [失望]
かつじ 活字 [活字，铅字]
かって 勝手 [任性；随意，随便]
かっと かっと [勃然大怒]
かつどう 活動 [活动]
かつよう 活用 [利用，运用，应用]
かど 角 [角，拐角]
かなう 叶う [实 现 （ 愿 望 ）,达 到 （ 目 的 ）]
かならず 必ず [必 定 ， 一 定]
かなり かなり [相 当 ， 颇]
かねもち 金持ち [有钱人]
かのう 可能 [可能]
かはんすう 過半数 [过半数，半数以上]
かぶき 歌舞伎 [歌舞伎]
かぶる 被る [戴，盖，蒙受，曝光]
がまん 我慢 [忍耐，忍受]
がまんづよい 我慢強い [忍耐力强，有耐性]
かみ 神 [神，神仙，上帝]
かみさま 神様 [神，上帝]
かみなり 雷 [雷，雷鸣]
かむ 噛む [咬，嚼]
かめん 仮面 [面具；假脸]
かもく 科目 [学科，科目]
かゆい 痒い [痒]
かよう 通う [往返学校，上下班]
から 空 [空]
からっぽ 空っぽ [空，空虚的]
カリキュラム curriculum [全部课程的教学计划]
かれる 枯れる [枯萎]
カレンダー calendar [日历]
かわいそう かわいそう [可怜]
かわかす 乾かす [晒干，晾干]
かわく 乾く [干，干燥]
かわり 代わり [代替，替代，补偿]
かわる 変わる [变化；不同寻常，奇特]
かんがえなおす 考え直す [重新考虑，重新思考]
かんかく 感覚 [感觉，感受]
かんきょうおせん 環境汚染 [环境污染]
かんけい 関係 [关系，与…有关]
かんさつ 観察 [观察]
かんじ 感じ [感觉，印象]
かんしゃ 感謝 [感谢]
かんじょう 勘定 [结账，算账]
かんじょう 感情 [感情]
かんしん 感心 [钦佩，佩服，赞赏]
かんしん 関心 [关心，关怀]
かんせい 完成 [完成，落成]
かんせつ 間接 [间接]
かんぜん 完全 [完全，完善]
かんそう 感想 [感想]
かんたん 簡単 [简单，容易]
かんでんち 乾電池 [干电池]
かんばん 看板 [招牌]
かんぺき 完璧 [完美，十全十美]
かんめい 感銘 [感人，铭刻在心]
かんれん 関連 [关联，关系，联系]
キーワード key word [关键词，关键字]
きいろ 黄色 [黄色]
きえる 消える [熄灭，消失，融化]
きおく 記憶 [记忆，记性]
きかい 機械 [机器，机械]
きかい 機会 [机会]
きがる 気軽 [轻松愉快，爽快]
きけん 危険 [危险]
きげん 機嫌 [心情，愉快]
きこう 気候 [气候]
きざみこむ 刻み込む [刻上，铭刻]
きし 岸 [岸]
ぎしき 儀式 [仪式]
ぎじゅつ 技術 [技术]
きずぐち 傷口 [伤口，伤疤，裂痕]
きせい 帰省 [探亲,回家乡看望父母]
ぎせいしゃ 犠牲者 [牺牲者]
きせる 着せる [给…穿上]
きそ 基礎 [基础，根基]
きそく 規則 [规则，规范，秩序]
きたい 期待 [期待，期望，希望]
きたえる 鍛える [锻炼]
きちょうめん 几帳面 [规规矩矩，一丝不苟]
きちんと きちんと [整洁地，恰当，好好地]
きっかけ 切っ掛け [契机，动机，诱因]
きっかり きっかり [正,整；恰,正好,恰好]
きづく 気づく [注 意 到 ， 觉 察 到 ， 意 识 到]
きてい 規定 [规定，规章]
きっさてん 喫茶店 [咖啡馆，茶室]
きにゅう 記入 [记入，填写]
きねん 記念 [纪念]
きのう 機能 [功能，机能，作用]
きのどく 気の毒 [可怜，可惜]
きびしい 厳しい [严，严格，严厉；严峻]
きふ 寄付 [捐助，捐赠]
きぶん 気分 [心情；情绪；心绪；心境]
きぼう 希望 [希望]
きまじめ 生真面目 [一本正经，刻板认真]
きむ 義務 [义务]
きもの 着物 [衣服，衣着；(日式)和服]
ぎもん 疑問 [疑问]
ぎゃくせつ 逆説 [反论，悖论]
キャプテン captain [首领；船长；队长]
キャンパス campus [大学校园(校区)]
キャンペーン campaign [宣传活动]
きゅう 急 [急，紧急，突然，忽然]
きゅうか 休暇 [休假]
きゅうじつ 休日 [休息日，假日]
ぎゅうにゅう 牛乳 [牛奶]
きゅうよう 休養 [休养]
きゅうりょう 給料 [工资，薪金，薪水]
きよう 器用 [手巧；巧妙，精明]
きょういく 教育 [教育]
ぎょうかい 業界 [业界，同业界]
きょうかしょ 教科書 [教材，教科书]
きょうかん 共感 [同感，共鸣]
きょうげき 京劇 [京剧]
ぎょうじ 行事 [既定的仪式或活动]
きょうそう 競争 [竞争]
きょうつう 共通 [共通，共同]
きょうみ 興味 [兴趣，兴味]
きょうよう 教養 [教养，修养]
きょうりょく 協力 [协力，合作，协助]
ぎょうれつ 行列 [行列，队伍，列队]
ギョーザ 餃子 [饺子]
きよめる 清める [洗净，弄干净，去除污垢]
きよらか 清らか [清，洁净；清白；清爽]
きょり 距離 [距离]
きらう 嫌う [厌恶，讨厌]
きらり（と） きらり（と） [一闪，一晃]
きり 霧 [雾]
きりかえる 切り替える [转换，更换，改换]
きる 切る [切，斩，剁；断绝]
きれる 切れる [断开；到期；(刀)快]
きろく 記録 [记录，记载]
きん 金 [金]
ぎん 銀 [银]
きんがく 金額 [金额，金钱的数额]
ぎんこう 銀行 [银行]
きんし 禁止 [禁止]
きんじょ 近所 [近邻，近处]
きんじる 禁じる [禁止；忌，戒(除)；控制]
きんせん 金銭 [金钱]
きんぞく 金属 [金属]
きんちょう 緊張 [紧张]
ぐあい 具合 [(身体)情况；方便，合适]
くいとめる 食い止める [阻止，挡住，控制住]
くさい 臭い [难闻]
くさる 腐る [腐烂]
くし 串 [扦子；串]
くず 屑 [屑，渣滓，糟粕]
くずれる 崩れる [坍塌，溃败]
くせ 癖 [癖性;坏习惯；特征,特点]
くださる 下さる [(尊他)送，给]
ぐち 愚痴 [抱怨，牢骚]
くちびる 唇 [唇，嘴唇]
くちょう 口調 [语调,声调；腔调]
くつがえす 覆す [打翻，推翻]
くつろぐ 寛ぐ [轻松地休息，舒畅，惬意]
くばる 配る [分配,分发；分派,注意]
くふう 工夫 [想方设法，找窍门]
くべつ 区別 [区别]
くみあわす 組み合わす [编排，组合起来]
くも 蜘蛛 [蜘蛛]
くやしい 悔しい [令人懊悔；遗憾]
くやむ 悔やむ [懊悔，后悔；吊唁，哀悼]
くよくよ くよくよ [担心，烦恼，闷闷不乐]
くらす 暮らす [生活，度日，过日子]
グラフ graph [图表，图解]
クラブかつどう クラブ活動 [社团活动]
くらべる 比べる [比，比较，对比]
くりかえす 繰り返す [反复，重复]
くるう 狂う [发疯；失常；沉溺,迷于]
くるしむ 苦しむ [感到痛苦，苦于]
くるまいす 車椅子 [轮椅]
グルメ gourmet [美食家，吃家]
くれる 暮れる [日暮，天黑]
グローバルか global 化 [全球化]
くろう 苦労 [辛苦，吃苦]
くわえる 加える [加上，添加；追加]
くわしい 詳しい [详细]
くんれん 訓練 [训练]
ケア care [照顾，照料]
けいえい 経営 [经营]
けいき 景気 [景气，市面，商情]
けいこ 稽古 [(技能)练习，练功；学习]
けいこう 傾向 [倾向]
けいこく 警告 [警告]
けいさつ 警察 [警察]
けいさん 計算 [计算，运算]
けいしき 形式 [形式]
げいじゅつ 芸術 [艺术]
ケーキ cake [蛋糕，西式糕点]
ケース case [柜；盒(子)；实例,事例]
けが 怪我 [受伤，负伤]
げき 劇 [戏剧]
けずる 削る [削，削减]
けっか 結果 [结果]
けっきょく 結局 [结果，最后，到底]
けっこう 結構 [很好；足够；不必]
けっこん 結婚 [结婚]
けつじょ 欠如 [缺少，缺乏]
けっしん 決心 [决心]
けつだん 決断 [决断，当机立断]
けってい 決定 [决定]
けってん 欠点 [缺点，缺陷，毛病]
けなす 貶す [贬低；贬斥]
けはい 気配 [情形，动静，迹象]
けむり 煙 [烟，烟雾]
ける 蹴る [踢，踹；冲破；驳回]
げんいん 原因 [原因]
けんがく 見学 [参观学习]
けんきゅう 研究 [研究]
けんけつ 献血 [献血]
けんこう 健康 [健康]
げんじつ 現実 [现实，真实]
げんち 現地 [当地，现场]
けんちく 建築 [建筑]
けんていしけん 検定試験 [检定考试，甄别考试]
げんていひん 限定品 [限定商品]
げんに 現に [实际上，真实地]
けんめい 賢明 [贤明，英明，高明]
けんり 権利 [权利]
げんりょう 原料 [原料]
コイン coin [硬币]
こうい 行為 [行为，行动，举动]
こうか 効果 [效果]
こうかい 後悔 [后悔]
こうがい 郊外 [郊外]
こうぎょう 工業 [工业]
ごうけい 合計 [合计，总计]
こうけん 貢献 [贡献]
こうこう 高校 [高中]
こうこく 広告 [广告]
こうさてん 交差点 [十字路口]
こうじ 工事 [工程，施工]
こうじゅつしけん 口述試験 [口试]
こうじょう 向上 [向上，进步，提高]
こうせい 構成 [构成，结构]
こうそく 校則 [校规]
こうつう 交通 [交通]
こうどう 行動 [行动，行为]
こうにゅう 購入 [购入，买进（物品等）]
こうばん 交番 [派出所]
こうふく 幸福 [幸福]
こうへい 公平 [公平，公道]
こうよう 紅葉 [红叶，变成红叶]
こうりつてき 効率的 [有效率的]
こうりゅう 交流 [交流]
こうれいしゃ 高齢者 [高龄者]
こえる 超・越える [超过，超越，胜过]
コース course [套餐]
コーヒー coffee [咖啡]
こおる 凍る [结冰，结冻]
ゴール goal [(跑到)终点；达成目标]
ゴールデンウィーク golden week [黄金周]
ごかい 誤解 [误解，误会]
ごがく 語学 [语言学，外语]
こきゅう 呼吸 [呼吸]
こくち 告知 [告知，布告]
こくもつ 穀物 [谷物，粮食]
こころいき 心意気 [气魄，气概]
こころがける 心掛ける [留心，上心，注意]
こし 腰 [腰]
こしょう 故障 [故障]
コスト cost [成本，代价，费用]
コスプレ cosplay [角色扮演]
こせい 個性 [个性]
こそだて 子育て [养育子女，培育孩子]
こだわる 拘る [拘泥；讲究，讲求]
こつ こつ [要领，窍门，秘诀]
コック 荷 kok [厨师]
こっけい 滑稽 [滑稽；可笑；诙谐；戏谑]
こつこつ こつこつ [孜孜不倦，勤勉]
ことがら 事柄 [事情；事态]
ことなる 異なる [不同，不一样]
ことばづかい 言葉遣い [说法，措词]
ことわざ 諺 [谚语]
ことわる 断る [拒绝]
こなす 熟す [弄碎，消化；运用自如]
このあいだ この間 [最近，前几天]
このごろ この頃 [近来，最近]
このみ 好み [嗜好，爱好]
このむ 好む [喜欢；爱好]
こばむ 拒む [拒绝；阻拦]
こぼす 零・溢す [发牢骚，溢出，流露]
コマーシャル commercial [(电视）广告]
こまか 細か [细小；详细；周到]
こまかい 細かい [细小，零碎]
ごまかす ごまかす [敷衍，搪塞，糊弄]
こまる 困る [为难，困难]
コミック comic [喜剧,滑稽；漫画故事]
ごみばこ ゴミ箱 [垃圾箱，废物箱]
こむ 込む [人多，拥挤，拥堵]
ゴム 荷 gom [橡胶，橡皮]
こむぎこ 小麦粉 [小麦粉，面粉]
こめる 込める [装入，填入；倾注]
こもる 籠る [包含，充满，闭门不出]
こらん ご覧 [(尊他) 看]
これまで これまで [到此为止]
ころころ ころころ [滚动 (的样子)，滚转]
ころす 殺す [杀死，宰；抑制，忍住]
ころぶ 転ぶ [跌倒]
こわす 壊す [弄坏，毁坏，损坏]
こんき 根気 [毅力，耐性]
こんじょう 根性 [脾气；性情,秉性,根性]
コンサート concert [音乐会，演奏会]
コンタクトレンズ contact lens [隐形眼镜]
こんだて 献立 [食谱，菜单]
コンビニ convenience store [便利店]
コンピューター computer [计算机，电脑]
こんや 今夜 [今夜]
サークル circle [兴趣小组]
さいあく 最悪 [最坏，最恶劣，最糟糕]
さいがい 災害 [灾害，灾难]
さいきん 最近 [最近]
さいご 最後 [最后]
さいこう 最高 [最高，最好，最佳]
ざいさん 財産 [财产]
さいしょ 最初 [最初，起初]
さいせんたん 最先端 [顶端，顶尖]
さいちゅう 最中 [最盛时期，正...中]
さいてい 最低 [最低；最差，最劣]
さいてん 祭典 [祭奠,典礼]
サイト site [地基,用地,地点,位置]
さいのう 才能 [才能]
サイバーこうげき cyber 攻撃 [网络攻击，电脑攻击]
さいばん 裁判 [审判，裁断]
ざいむ 財務 [财务]
ざいりょう 材料 [材料]
さえる 冴える [冷峭；清澈；清醒；清晰]
さか 坂 [坡，坡道]
さかい 境 [边界，分界]
さがす 探す [寻找，搜寻]
さがる 下がる [下降，后退]
さかん 盛ん [热烈，盛大；繁荣，昌盛]
さくげん 削減 [削减]
さくひん 作品 [作品]
さけ 酒 [酒]
さける 避ける [避开，回避，顾忌]
さげる 下げる [降低，撤下]
ささえる 支える [支持，支撑，维持]
さしこむ 差し込む [插入,扎进；剧痛,绞痛]
さしず 指図 [指示，吩咐，命令]
さす 指す [指,指示；指名,指定]
さす 刺す [刺，串；蜇，咬，叮]
さずける 授ける [授予，赐予，传授]
さだめる 定める [决定，选定，规定]
さつ 札 [纸币，钞票]
さっぱり さっぱり [利落；直爽；清淡]
ざつよう 雑用 [杂事，琐事]
さどう 茶道 [茶道]
さびしい 寂しい [寂寞，冷清]
さほう 作法 [礼节，礼法；规矩]
サポート support [支持，支援]
さまざま 様々 [各种各样，形形色色]
さらに 更に [更，更加，更进一步]
サラリーマン salaried man [工薪人员，薪俸生活者]
さりげない さりげない [若无其事的，不露声色]
ざわざわ ざわざわ [沙沙响，人声嘈杂]
さわぐ 騒ぐ [吵闹，喧嚣]
さわる 触る [触摸，接触，触及]
さんぎょう 産業 [产业]
さんこう 参考 [参考，借鉴]
さんざん 散々 [狼狈不堪，严重]
ざんねん 残念 [遗憾，可惜]
さんぽ 散歩 [散步]
しあげる 仕上げる [做完，完成]
しえん 支援 [支援，帮助]
しかく 資格 [资格，必须的条件]
じかく 自覚 [自知，意识，自觉]
しかた 仕方 [做法，办法]
しかも しかも [而，而且]
しかる 叱る [批评，责备；训斥]
じき 時期 [时期]
しく 敷く [铺，垫]
しくみ 仕組み [策划；结构]
しげき 刺激 [刺激]
しげる 茂る [茂盛]
しげん 資源 [资源]
じけん 事件 [事件，案件]
じこ 事故 [事故]
じこかんり 自己管理 [自我管理]
じごく 地獄 [地狱]
じさん 持参 [携带，带来（去）]
しじ 指示 [指示，吩咐]
じじつ 事実 [事实]
ししゅつ 支出 [支出]
じじょう 事情 [情况，事情]
じしん 自信 [自信，自信心]
じしん 地震 [地震]
システム system [系统，体系，组织]
しずむ 沈む [沉没，降落，消沉，沉沦]
しずめる 静める [使…平静、镇定]
しせい 姿勢 [姿势，姿态，态度]
しせつ 施設 [设施]
しぜん 自然 [自然，自然界]
しそん 子孫 [子孙]
した 舌 [舌，舌头]
じだい 時代 [时代]
したがう 従う [遵从，按照，随着]
したぎ 下着 [内衣裤]
したく 支度 [准备]
じたく 自宅 [自宅，自己的住宅]
したしい 親しい [亲密，亲近，亲昵]
しつ 質 [质量，品质]
しっかり しっかり [牢固地，扎实地，很好地]
しつけ 躾 [教育，教养，训练，管教]
じっけん 実験 [实验，试验]
しつこい しつこい [腻人；执拗，纠缠不休]
じっこう 実行 [实行]
じっしゅう 実習 [实习，见习]
じっせん 実践 [实行，实践]
じっと じっと [一动不动，凝神]
じつは 実は [实际上，其实，老实说]
しっぱい 失敗 [失败，没有做好]
しどう 指導 [指导]
じどう 児童 [儿童]
じどうしゃ 自動車 [汽车]
しにせ 老舗 [老铺子，老店，老字号]
しぬ 死ぬ [死]
しはい 支配 [支配，统治]
しばい 芝居 [戏，戏剧]
しはらう 支払う [支付，付款，付钱]
しばらく しばらく [一会儿；许久]
しばる 縛る [绑，捆，约束，束缚]
しまう しまう [收起来；做完]
しまる 閉まる [关闭]
じまん 自慢 [自夸，骄傲，得意]
じみ 地味 [朴素，质朴]
しみじみ しみじみ [铭刻在心；深切]
じみち 地道 [勤勤恳恳，踏实]
じむ 事務 [事务]
しめす 示す [出示，表示]
しめる 占める [占据，占有]
しゃかい 社会 [社会]
ジャンケンポン ジャンケンポン [石头，剪刀，布]
じゆう 自由 [自由，随便]
しゅうえき 収益 [收益，收入]
しゅうかく 収穫 [收获]
しゅうがくりょこう 修学旅行 [修学旅行]
しゅうかん 習慣 [习惯]
じゅうしょ 住所 [住址]
しゅうしょく 就職 [就业]
しゅうだん 集団 [集团]
しゅうちゃく 執着 [执着，固执，留恋]
しゅうちゅうりょく 集中力 [集中力]
しゅうとう 周到 [周到，周全，周密]
