はこ 箱 箱子；盒子；容器等
しょうかい 紹介 把某人或某事向他人说明、引见，使他人了解；推荐。
しょうかいする 紹介する 把人或事物的情况、特征等向别人说明，使别人了解；引进，传入
こん 紺 藏青色，深蓝色；（因淤血等呈现的）青紫色；（因害羞、愤怒等呈现的）红晕。
おわり 終わり 末尾，终了；结局；尽头；完了；完蛋；死
おわる 終える 做完，完成，结束；用尽，用完；死，去世
おわり 終わり 结尾；结束；尽头
おわります 終わります 结束，完毕，到头；终了，完了；死，去世
おわる 終わる 完毕，结束；做完，完结；到头，终了；死。
しゅうりょう 終了 结束，完毕，终止。
しゅうし 終始 自始至终；从头到尾；始终；一直。
しゅうそく 終息 结束；终止。指某个行为、状态、事件等的完结。
しゅうじつ 終日 一整天，从早到晚。
しゅうてん 終点 行程、線路などの最後の地点。また、競技などのゲームで勝利するための目標地点。
しゅうえん 終焉 終わり。最後の時期。また、死ぬこと。
しゅうちゃく 終着 終点。列車や飛行機などの運行が終わる場所。また、物や人が最終的に到着する場所。
しゅうけつ 終結 结束，终结；完结，终了。
しゅうでん 終電 末班电车
しゅうでん 終電 末班电车
くみあわせ 組み合わせ 配合，搭配，组合；联合，协作；工会，社团
くみあわせる 組み合わせる 将……组合在一起；把……编排到一起
くみあてる 組み立てる 将零部件等组合起来构成一个完整的物体；把各种部件安装在一起。
くみこむ 組み込む 编入；组装；嵌入；使加入；使参与
くむ 組む 1. 编，编织。例：糸を組む（编织丝线）。2. 组合，搭配。例：パーツを組む（组装零件）。3. 结交，勾结。例：仲間を組む（结交伙伴）。4. 编排，安排。例：予定を組む（安排计划）。
くみあい 組合 工会；行会；组合；协作。
そしき 組織 组织；结构；体系。如公司、学校等有一定架构和分工的团体；事物的构成方式、架构；由多个部分组成的整体体系。
きずな 絆 人与人、团体与团体之间的纽带、联系、羁绊，体现彼此相互的情感维系
たつ 経つ （时间）经过、流逝、消逝；经历、经过（某段时间或过程）
けいえい 経営 经营，运营；管理。
けいえいしゃ 経営者 从事经营管理的人；经营者
けいえい 経営 经营；管理；运营
けいど 経度 地球上的地点在东西方向上的角度度量，本初子午线以东为东经，以西为西经。
けいれき 経歴 过去におこなった出来事や、その人物の履歴や経路を表すもの。
けいざい 経済 经济；节约，节省
けいざいてき 経済的 经济方面的；节约的；实惠的
けいり 経理 会计；账目；财务管理。也有经营管理的意思，但一般较少指“经理”（“经理”常用“マネージャー”表示）。
けいゆう 経由 名词。表示通过某个地方、借助某种手段或经过某个过程等意思。
けいい 経緯 事情的经过、原委；来历、履历。
けいひ 経費 为了达成某个目的而支出的费用，开销。
けいろ 経路 路径，途径；路线；进程。
けいか 経過 （事情的）经过，过程；时间的经过，流逝；进展情况。
けいけん 経験 过去に自分自身が行ったことや感じたことなどの、知識や技能を得るための体験。また、そのような体験を通じて獲得した知識や技能。
けいけんする 経験する 经历；体验；经验。例：苦労を経験する（经历辛苦）；新しい文化を経験する（体验新文化）；豊富な経験を持つ（拥有丰富的经验）
むすび 結び 1. 结，打结。例：ひもの結び方。（绳子的打结方法。）2. 结束，终结。例：会議の結び。（会议的结束。）3. 连接部分，接头。例：パイプの結び。（管道的接头。）
むすびます 結びます 连接，系；结束，缔结；打结，系扣等
つながる 結び付く 有关联，有联系；结合在一起；连接，相连
つなぎつける 結び付ける 系上，拴上；结合，连接；关联，联系；使……相结合，使……相联系
むすぶ 結ぶ 1. 系，绑，如鞋带、绳子等；2. 缔结，建立关系，如契约、婚姻等；3. 总结，归纳，如文章、会议内容等；4. 结束，完成，如工作、任务等。
けっこん 結婚 男女が夫婦関係を結ぶこと。婚姻すること。
けっこんする 結婚する 结婚
けっこんしき 結婚式 结婚典礼；婚礼
けっこんしきば 結婚式場 举行结婚仪式的场所，婚礼会场
けっこんきねんび 結婚記念日 结婚纪念日
けっこんする 結婚する 结婚
けっきょく 結局 最终，结果，到头来
けっせい 結成 组织、成立、结成。通过聚集人员、团体等形成一个新的整体。
けっしょう 結晶 1. 结晶。如：「雪が結晶を作る」（雪形成结晶）。2. 成果，结晶。如：「彼の努力の結晶」（他努力的结晶）。
けっそく 結束 团结；联合；合作；组织；社团；团体。也有捆扎的意思，但‘团结’等集体相关意义更为常用。
けっか 結果 名词，指事物发展到最后所达到的状态或成果。
けっこう 結構 1. 很好，优秀；漂亮；出色。2. 足够，充分。3. 可以，不必，不用。
けっこうです 結構です 不用了，不要了；足够了，可以了；很好，不错
けつろん 結論 经过思考、讨论等得出的最终判断或结果
しぼる 絞る 1. 拧，绞，挤（液体等）；2. 勒紧，掐住；3. 压缩，缩小；4. 集中（注意力、精力等）
からむ 絡む 1. 缠住，绕上；2. 纠缠，缠住不放；胡搅蛮缠，无理取闹；3. 相关联，有密切关系
きゅうよ 給与 工资，薪酬。例：給与を上げる（提高工资）。也有供应，供给的意思，如：食料を給与する（供应食品）
きし 給仕 服务，伺候；（餐厅、酒店等的）服务员，侍者
きゅうりょう 給料 工资，薪水
きゅうしょく 給食 学校、会社、病院などで、食事を提供すること。また、その食事。
とういつ 統一 1. 统一；使一致。将分散的事物集中起来，形成一个整体或达成一致的状态。2. 集中。把力量、精力等聚集到一处。
とういつ 統一 名词：统一、一致；动词：使统一、使一致。
とうせい 統制 统制；控制；管制；管理。通过一定的规则、手段等对事物进行统一管理、约束，使其按照规定的方式运行。
とうごう 統合 いくつかのものをまとめて一つにすること。また、その結果、全体として機能するようになること。例えば、組織やシステム、情報などをまとめること。
とうそつ 統率 人や物を率いて、統一的に指導・管理すること。
とうけい 統計 对有关某一现象的数字资料进行搜集、整理、计算和分析等，从而得出概括性的结论；也指这些数字资料。
え 絵 画，图画；照片；插图
えのぐ 絵の具 绘画用具，颜料，水彩等
えもじ 絵文字 通过图形来表达意思、情感等的符号，如常见的各种表情图案等
えほん 絵本 绘本，图画书，以图画为主并配有少量文字的儿童读物
かいが 絵画 绘画，图画
えがきがみ 絵葉書 美术明信片；图画明信片
たえず 絶えず 不断地，不停地，始终
たえる 絶える 1. 断绝，中断。2. 终了，完结。3. 停止，消失。4. 死，去世。
たつ 絶つ 使断绝；使停止；使结束；切断；断绝（关系等）；停止（某种行为、状态等）
ぜっこう 絶交 断绝交往；绝交。
ぜったい 絶対 绝对，完全；一定，肯定；无论如何（用于强调否定或拒绝）
ぜったいに 絶対に 绝对；无论如何；肯定；一定
ぜつぼう 絶望 绝望，失望。对某种情况或事物感到完全失去希望，陷入无助的状态。
ぜつめつ 絶滅 灭绝，绝灭；灭亡，覆灭
ぜつめつきぐしゅ 絶滅危惧種 濒临灭绝的物种
ぜっぱん 絶版 书籍、唱片、邮票等不再印刷、复制，市面上没有了的状态
せつさん 絶賛 極めて称賛すること。高く評価し、絶えず賛美すること。
きぬ 絹 丝绸，绸子；（蚕）丝；绢织物；用丝绸制作的物品
つぎめ 継ぎ目 接口，接缝；连接点；边界；（文章、故事等的）衔接处
つぐ 継ぐ 1. 连接，接上；2. 继续，接着；3. 继承；4. 接替，接任。
けいしょう 継承 （财产、地位、权利等的）继承；（传统、文化等的）传承
けいぞく 継続 持续、继续。表示不间断地进行或连接下去。
ぞくぞく 続々 连续不断地；陆续地。表示事物接连发生，不间断地持续进行。
つづき 続き 后续部分；接续；连续，接连不断
つづきます 続きます 继续，持续；接着，随后
つづく 続く 继续；持续；连贯；连接
つづけます 続けます 继续做（某个动作或行为）；持续（某种状态或情况）
つづける 続ける 继续做（某个动作或行为）；持续进行；不间断地做。
いじ 維持 维持，保持；维修，保养。
つな 綱 绳索；命脉；关键；线索等。
あみ 網 网；罗网，法网；像网一样的东西（如叶脉、蜘蛛网等）
もんど 網戸 用铁丝、纱等做成的，安装在门窗上的防护装置，起到通风、防蚊虫等作用。
つじる 綴じる 装订；缝；系；关闭；结束（会议等）
ほころびる 綻びる 1. （衣服、线缝等）开绽，绽开；裂开。2. （笑容等）绽放；（花朵等）开放。3. （精神状态等）松弛，松懈；（注意力等）分散。4. 稍微张开，半开半合。
めん 綿 棉花；棉织物；像棉花一样的东西
めんみつ 綿密 形容做事等细致、周密、详尽。
きんちょう 緊張 精神处于兴奋不安的状态；因有一定压力而感到不安。
きんちょうする 緊張する 感到紧张；变得紧张
きんきゅう 緊急 非常に急いで必要なこと。至急。
きんぱく 緊迫 形势、状况等变得紧张、紧迫
そうかい 総会 全体成员参加的会议，大会，全会
そうむ 総務 负责机关、团体等内部事务管理、综合协调等工作的部门或职务。可译为总务。
そうむしょう 総務省 （日本政府机构）总务省，负责处理政府的各项事务，如行政组织、人事、财务、文书管理等
そうごう 総合 将各种事物汇集、整合在一起进行全面考虑、处理等。
そうりょうりちょう 総料理長 总厨师长
そうりだいじん 総理大臣 日本内阁的首长，相当于其他国家的总理或首相
そうしょう 総称 总称；统称。指把许多事物归纳在一起的名称。
みどり 緑 绿色
りょくか 緑化 （通过植树、种草等方式）使环境变得绿色，进行绿化工作
りょくちゃ 緑茶 绿茶。以茶树的新梢为原料，经杀青、揉捻、干燥等典型工艺过程制成的茶叶。
せん 線 线；线条；线路；路线；线条状物；光线；视线；方针；线索等
せんろ 線路 铁路轨道；线路；航线。
しめる 締める 1. 系，绑，束紧，例如：靴を締める（系鞋带）；2. 拧紧，关上，例如：水道を締める（关上水龙头）；3. 结算，结账，例如：勘定を締める（结算账目）；4. 使紧凑，使密集，例如：部屋を締める（整理房间使紧凑）。
しめきり 締め切り 截止日期；期限；届满。指规定的最后期限或截止时间。
しめきる 締め切る 截止；期限；结束；拧紧；勒紧；扣紧；关闭；关门等。
ていけつ 締結 缔结，签订（条约、协定、合同等）；拉紧，勒紧；结束，完成
あみもの 編み物 名词，编织；编织品
あむ 編む 编织；编结；编纂；创作等。例如编毛衣、编故事等情况都可以用这个词。
へんせい 編成 把分散的事物组合、安排成一定的形式或体系；编排、编制。
へんしゅう 編集 对资料、文稿等进行整理、修改、编排等操作，使其更符合要求或具有更好的形式。
へんしゅうぶ 編集部 负责编辑、整理和出版刊物、书籍、报纸等内容的部门
ゆるい 緩い 宽松的；缓慢的；不严格的；缓和的；柔软的
ゆるむ 緩む 1. 松弛，松懈。如绳子、发条等失去张力而变得不紧。2. 缓和，放宽。如紧张的气氛、严格的规定等变得缓和。3. 变松，变宽。如衣服、鞋子等因穿着或使用而变大变松。4. （程度、强度等）减弱。5. （态度等）变得温和。
ゆるやか 緩やか 缓慢的，迟缓的；缓和的，平稳的；宽松的，宽大的；舒畅的，悠闲的
かんわ 緩和 （名詞）緊張や厳しさが和らぐこと。また、制限や規制が緩められること。
かんこう 緩行 列车等缓慢行驶；（车辆、行人等）缓慢前行
いど 緯度 地球表面を南北方向に測る角度の単位。赤道を0度とし、極点で90度となる。
なぎなおす 練り直す 重新搅拌；重新塑造；重新思考，推敲；重新改写；重新安排等
ねる 練る 1. 揉，搓，捏（使柔软或混合均匀）；2. 搅拌（使成分均匀混合）；3. 推敲，琢磨（词句、计划等）；4. 锻炼（身体等）
れんしゅう 練習 ① 技能や知識を身につけるために、何度も同じことを繰り返し行うこと。② あることを行うための事前の準備や訓練。
れんしゅうします 練習します 进行练习，反复做某事以提高技能或熟练程度
れんしゅうじょ 練習所 练习场地，练习场所，训练场所。通常指为了进行某种技能、技艺、运动等的练习而专门设立的地方。
れんしゅうする 練習する 进行练习
ちみつ 緻密 形容做事精细、周到，注重细节，常用于描述计划、安排、思考等方面；也可形容物体的质地或构造精细、紧密。
えん 縁 缘分；关系；边缘；周边
えんがわ 縁側 房屋连接室外的部分，通常指沿着房屋外墙搭建的有顶走廊，即外廊、檐廊。
えんだん 縁談 亲事，婚事；提亲，说媒
えんぎ 縁起 起源，由来；兆头；缘分。（事物の始まりの原因。また、物事の進行に関係する予兆や縁分。）
なわ 縄 绳子；绳索
なわばり 縄張り 领地，地盘，势力范围；（为维护自身权益等划定的）范围，界限
しばる 縛る 束缚；捆绑；约束；限制。
たて 縦 竖，纵向；垂直方向；竖的东西；长度。
ぬう 縫う 用针线将布等缝合起来；缝纫；刺绣；比喻紧密连接等
ちぢまる 縮まる 1. 收缩，缩小。物体的尺寸、范围等变小。2. 畏缩，退缩。因害怕、紧张等而身体或态度变得拘谨。
ちぢむ 縮む 1. （物体、空间等）收缩，变小；（身体等）蜷缩。2. （衣物等）起皱。3. （规模、数量等）缩减，减少。
ちぢめる 縮める 1. 缩短（时间、距离等）；2. 缩小（尺寸、规模等）；3. 削减，减少（数量、程度等）；4. 收缩，使变小（身体部位等）
しぼれる 縮れる （衣物）起皱；（物体）收缩、缩小；（身体等）蜷缩；（毛发）卷曲
しゅくしょう 縮小 物体のサイズや数量、規模などを小さくすること。また、範囲や影響力を狭めること。
しゅくしょう 縮小 缩小，缩减
ぼうえい 繁栄 繁荣，昌盛，兴旺。指事物发展得蓬勃兴盛，经济、文化等方面呈现出繁荣发展的状况。
ふしょく 繁殖 生物が増えて繁殖すること。また、広がり増えること。
ふんしょく 繁殖 生物が増えて新しい个体を作り出すこと。
ぼうじょう 繁盛 繁荣，昌盛，兴旺。指事物发展良好，处于繁荣兴旺的状态。
ばんかがい 繁華街 繁华的街道，商业区
せんさい 繊細 纤细，细微；（性格、感情等）细腻；（感觉）敏锐
せんい 繊維 纤维。如天然纤维、化学纤维等。
つながり 繋がり 连接，相连；关联，关系
つながる 繋がる 1. 连接，相连；2. 牵连，有关联；3. （人与人之间）有联系，交往密切
つなぐ 繋ぐ 1. 系，拴，绑，如将绳子等系在物体上；2. 连接，使相连，比如连接两个地方或事物；3. 维持（生命、希望等），保持某种状态或关系
つなげる 繋げる 1. 系，拴，绑，如将绳子等系在物体上；2. 接上，连上，使相连，比如连接管道、线路等；3. 联系，关联，把不同的事物联系起来；4. 汇总，归纳，将分散的内容整理汇总。
おる 織る 用毛线、丝线等编织成布、衣物等；谋划，策划（常与「計画」等词搭配）
おりひめ 織姫 织女；织女星。在日本神话中，是天帝的孙女，擅长织布。
おりもの 織物 用纱、线、丝等织成的物品，纺织品
つくろう 繕う 1. 修补，修缮，修理（破损的物品等使其恢复原状）；2. 整理，整顿，收拾；3. 装饰，修饰（使外观更美观）；4. 敷衍，掩饰（不好的情况等）
くりかえします 繰り返します 反复做，重复做
くりかえす 繰り返す 反复做，重复进行；把…反复说（或写、读等）
まとまる 纏まる 1. 汇集；聚集在一起。2. 整理好；收拾整齐。3. 达成一致；统一。4. 总结；归纳。5. 谈妥；解决。
まとめる 纏める 汇集；归拢；整理；总结；归纳；使一致；谈妥；解决（问题等）
かん 缶 （金属制的）罐子；罐头
かんづめ 缶詰 罐头；罐装食品
つみ 罪 犯罪；罪行；过错；罪孽
ざいにん 罪人 罪人；罪犯；犯人
おきます 置きます 放置，摆放；搁置；留出，空出；预定，安排等。
おきわすれる 置き忘れる 把物品放在某处而忘记拿；遗忘（事情等）
おく 置く 放置，搁；布置；留下；搁置；存款；下（蛋）；摆（宴席）等。
ばつ 罰 惩罚，处罚；坏的结果，失败；缺点，瑕疵
ばっする 罰する 对违反规则、法律等的人进行处罚、责罚，使其承受相应的后果。
ばっきん 罰金 因违反法律、规则等而被强制缴纳的金钱处罚。
しょめい 署名 署名；签名。指在文件、信件、作品等上面签署自己的名字，以表示对其内容的认可、负责或归属等。
ののしる 罵る 用粗野或恶意的话侮辱、斥责他人
りる 罹る 患（病）；遭受（灾难、不幸等不好的事情）
ひつじ 羊 羊，绵羊；姓氏（羊姓）
ひつじの肉 羊肉 羊の肉。通常、食べるために飼育された羊の肉を指す。
び 美 美，美丽；出色；美好的事物；审美；使变美等。
うつくしい 美しい 美丽的，漂亮的；美好的；优美的；出色的
うつくしさ 美しさ 美丽；美好；优美；美观；漂亮；美貌；美色；艳丽；华丽；美妙；好看；俊俏；标致；佳丽；姣好；姣美；婵娟；
びよう 美容 通过各种方法使容貌美丽，包括化妆、护肤、美发、整形等手段来提升外在形象。
びようし 美容師 从事美容行业，为顾客提供美容服务的专业人员
びよういん 美容院 美容美发店；理发店
びじゅつ 美術 绘画、雕刻、工艺、建筑等造型艺术的总称
びじゅつひん 美術品 指具有艺术价值、审美价值的物品，如绘画、雕塑、工艺品等
びじゅつかん 美術館 收藏、展示美术作品等以供公众观赏的场所
むらがる 群がる 聚集，聚拢；成群，蜂拥
むれ 群れ 群；聚集在一起的许多人或物；伙伴
ぐんしゅう 群衆 聚集在一起的众多的人；群众
ぐんしゅう 群集 人群；聚集，群集。指许多人聚集在一起形成的群体。
うらやむ 羨む 羡慕，嫉妒；不甘心，觉得遗憾
ぎむ 義務 义务；责任。指个人或团体基于法律、道德、约定等所应尽的责任或必须做的事情。
ぎり 義理 1. 情面，人情；出于情面不得不做的事。2. 道理，情理。3. 义理（如义父义母等亲戚关系中基于习俗或法律规定的关系）。
ぎりがたい 義理堅い 注重情义的，拘泥于人情世故的
はね 羽 羽毛；翅膀；（用于计算鸟类等的单位）只，个
よくとし 翌年 次年，下一年。指紧接今年的下一年。
よくじつ 翌日 次日，第二天
よくあさ 翌朝 第二天早晨，次日早晨
ならいます（错误，应改为：ならびます） 習います 学习；练习
ならう 習う 学习，练习（某种技能）；效仿，模仿；跟……学习（知识、技能等）
しゅうとく 習得 通過学习、练习等方式掌握某种技能、知识、习惯等。
しゅうせい 習性 生物や人間が長期間にわたって身に付けた癖や習慣。また、ある特定の環境に適応して形成された特性。
しゅうかん 習慣 习惯；风俗；惯例。指个人或社会长期形成的行为方式或传统做法。
ひるがえす 翻す 翻转；翻动；推翻；改变；使……飘扬
ほんやくします 翻訳します 翻译；笔译。指把一种语言文字的意义用另一种语言文字表达出来。
つばさ 翼 翅膀；机翼；（组织、团体等的）侧翼，方面；（事物的）一部分，分支；（在竞争、发展等中）起到的作用，影响力；（棒球、垒球等运动中的）外场位置；
おいる 老いる 人が年をとって体が衰えること。また、物が古くなること。
おとける 老ける 人或事物随着时间的推移而逐渐变老、衰老，失去年轻时的活力和容貌等；也可用于比喻事物失去新鲜感、变得陈旧。
おとけこむ 老け込む 人が年をとって、外見や体調、精神面などが老化していく様子。特に、若さや活力が失われ、古びた雰囲気を帯びることを表す。
ろうじん 老人 老年人，老人
ろうか 老化 物体や生物が経年劣化し、性能や机能が低下すること。また、人の身体や精神が年をとって衰えること。
ろうねん 老年 老年人的时期、晚年。
ろうこう 老後 年老以后；晚年
ろうがん 老眼 老花眼。年纪大了而视力衰退的眼睛。
ろうじゃくなんじょ 老若男女 泛指男女老少
ろうすい 老衰 衰老，年老体衰
かんがえ 考え 想法，思考，见解；考虑，打算
かんがえます 考えます 思考，想；考虑；认为
かんがえる 考える 思考，思索；考虑；打算；认为
かんがえこと 考え事 思考的事情；心事，担忧的事
かんがえだす 考え出す 想出；想到；构思出；开始思考并想出（主意、办法等）
かえりなおす 考え直す 重新考虑；重新思考；重新审视
こうりょ 考慮 考慮，思考，斟酌。指对事情进行深入地思索、权衡各种因素后做出判断或决定。
こうさ 考査 审查，审核；考查，测验
こうあん 考案 设计，构思，策划，想出
しゃ 者 人；……的人；……者（表示从事某种职业、具有某种身份等）
たえる 耐える 他动词，意为承受、忍受、忍耐；自动词，意为经得起、耐得住、忍耐。
たいきゅうりょく 耐久力 持久力；耐力
たがやす 耕す 用犁翻地；耕种；致力于，钻研
こうさく 耕作 土地を耕して作物を植えること。また、その作業。
みみ 耳 耳朵
みみがとおい 耳が遠い 耳が遠いは、年を取ったり、特定の原因により、聞き取りが悪いことを表す慣用語です。
みみにする 耳にする 听到；传入耳中；被某人听到。
びじゅつか 耳鼻科 诊断、治疗耳、鼻、咽喉等疾病的科室。
きかせる 聞かせる 让……听；给……讲；使……听见。表示有意识地让对方听到某种声音、话语等。
ききます 聞きます 询问；打听；听。例如：先生に質問を聞きます。（向老师提问。）；音楽を聞きます。（听音乐。）
ききじょうず 聞き上手 善于倾听；擅长听取
ききだす 聞き出す 1. 打听出，探出；探出（消息等）；打听到；探出（情况等）。2. 开始听；开始倾听。
ききとり 聞き取り 听取；听懂；收听。指通过耳朵接收声音信息并理解其内容，也可表示收听广播、节目等。
ききとる 聞き取る 听见；听懂；听取；窃听
ききて 聞き手 听者，听众；听话人
ききなおす 聞き直す 再次询问；重新听取；重新审视
ききかえす 聞き返す 1. 反问；再次询问。2. 重新听；再听一遍。
ききのがす 聞き逃す 听漏；漏听；没听到
ききまちがえる 聞き間違える 听错，误听；听漏。
ききあきる 聞き飽きる 听腻，听厌
きく 聞く/聴く 听；询问；打听；听从；遵循；闻；嗅。例如：音楽を聞く（听音乐）；先生に質問を聞く（向老师提问）；道を聞く（问路）；助けを求める声を聞く（听从求救的声音）；指示に聞く（遵循指示）；花の香りを聞く（闻花香）。
